jcmd 8192 GC.heap_dump /tmp/b.hprof

jcmd 8192 Thread.print > /tmp/a.txt

命令	描述
jcmd PID VM.uptime	查看 JVM 的启动时长
jcmd PID GC.class_histogram	查看 JVM 的类信息，这个可以查看每个类的实例数量和占用空间大小。
jcmd PID Thread.print	查看 JVM 的Thread Dump
jcmd PID GC.heap_dump FILE_NAME	查看 JVM 的Heap Dump,注意，如果只指定文件名，默认会生成在启动 JVM 的目录里。
jcmd PID VM.system_properties	查看 JVM 的属性信息
jcmd PID VM.flags	查看 JVM 的启动参数,注意，可以看到 -X 和 -XX 的参数信息
jcmd PID VM.command_line	查看 JVM 的启动命令行
jcmd PID GC.run_finalization	对 JVM 执行 java.lang.System.runFinalization(),尽量b别去调用这个对象的finalize方法。
jcmd PID GC.run	对 JVM 执行 java.lang.System.gc()，告诉垃圾收集器打算进行垃圾收集，而垃圾收集器进不进行收集是不确定的
jcmd PID PerfCounter.print	查看 JVM 的性能
